Tweet ID,Username,Content,Created At,User Location,Filtered Location,Label,Confidence,SentimentScore,Logits,Month_Year
954865989736378368,annemariayritys,"""Trees are sanctuaries. Whoever knows how to listen to them, can learn the truth"". ~H.Hesse https://t.co/MPVLDEnDkE #climatechange #climateaction https://t.co/zIAsnWstBm",2018-01-20 23:59:27+00:00,"Tampere, Finland",Finland,LABEL_1,0.988564133644104,4.459497451782227,"[-2.0657334327697754, 2.393764019012451]",01/2018
954865193451966465,annemariayritys,"""Wilderness is not a luxury but a necessity of the human spirit"". https://t.co/8avG7MVS0E #climatechange #climateaction https://t.co/AsXyAqRMQc",2018-01-20 23:56:17+00:00,"Tampere, Finland",Finland,LABEL_1,0.9368156790733336,2.696430206298828,"[-1.1884112358093262, 1.5080188512802124]",01/2018
954864712864350208,MaraVanElls,"Marchers chanting ""End Trump, not DACA"" and ""Climate change is real!"" https://t.co/zSBeds0jW0",2018-01-20 23:54:22+00:00,"Munich, Bavaria",Germany,LABEL_1,0.9613529443740844,3.213871717453003,"[-1.4217735528945923, 1.7920981645584106]",01/2018
954864150043381760,ferrari_carla,What kind of emoji do you need to talk about climate change? https://t.co/UtB4e0CebO @giada_demartis,2018-01-20 23:52:08+00:00,"Milano, Lombardia",Italy,LABEL_1,0.9877140522003174,4.386932373046875,"[-2.0990960597991943, 2.2878363132476807]",01/2018
954864077863641088,The_New_View_,"Hey everyone, here's part two of our interview with Senator Grace O Sullivan @GraceOSllvn, we discussed topics such as Climate Change, the #RepealThe8th  campaign, Donald Trump, Drug policy and much more. Many thanks to Grace for coming on again!
https://t.co/1XbEN3uuYs",2018-01-20 23:51:51+00:00,"Waterford, Ireland",Ireland,LABEL_1,0.9913229942321776,4.738359451293945,"[-2.2495462894439697, 2.4888129234313965]",01/2018
954863921202171905,annemariayritys,"""I am most alive among the tall trees"". https://t.co/MPVLDEnDkE #climatechange #climateaction https://t.co/J1y8rodvat",2018-01-20 23:51:13+00:00,"Tampere, Finland",Finland,LABEL_1,0.9861664772033693,4.266728401184082,"[-1.9647833108901978, 2.301945209503174]",01/2018
954863033758703616,CHASECorkNews,Climate change + crumbling shoreline = #justsayno ...please! https://t.co/MKrqukY4M7,2018-01-20 23:47:42+00:00,Cork Harbour,Ireland,LABEL_1,0.9847519993782043,4.167938709259033,"[-1.9142721891403198, 2.253666400909424]",01/2018
954422815670833152,NoonanJoe,"Planning for climate change.  Like not putting a hazwaste incinerator on a crumbling shoreline. #Cork
@CHASECorkNews https://t.co/taVtstgxgX",2018-01-19 18:38:26+00:00,Cork,Ireland,LABEL_1,0.9864321351051332,4.286394119262695,"[-2.0093135833740234, 2.277080774307251]",01/2018
954862710818246656,SofiaJbr,"Diversity is a Strength &amp; Inclusivess towards the same Futuristic destination is a Must, especially during this transition decade to a new world for we're already impacted by Automation, technological changes, climate change, resources scarcity, anger and fear in our societies! https://t.co/jfGuKvlCte",2018-01-20 23:46:25+00:00,"Paris, France",France,LABEL_1,0.9940627217292786,5.120552062988281,"[-2.4277312755584717, 2.6928210258483887]",01/2018
954862506194997248,annemariayritys,Arctic Climate Change a Global Problem: https://t.co/XueyARtvXS #climatechange #climateaction https://t.co/uwv8V8zi9r,2018-01-20 23:45:36+00:00,"Tampere, Finland",Finland,LABEL_1,0.9913992881774902,4.747267723083496,"[-2.291841506958008, 2.4554262161254883]",01/2018
954861416523198464,annemariayritys,"""Time spent among trees is never time wasted"". https://t.co/MPVLDEnDkE #climatechange #climateaction https://t.co/pk45l8BszV",2018-01-20 23:41:16+00:00,"Tampere, Finland",Finland,LABEL_1,0.9701988697052002,3.48295259475708,"[-1.5892103910446167, 1.8937422037124634]",01/2018
954860815814979586,pablorodas,"For Trump the Chinese are full of secrets: China created the “hoax” of climate change, China protects the “rocket man” from North Korea, and China... https://t.co/LWrQF8IVuu",2018-01-20 23:38:53+00:00,"Warsaw, Poland",Poland,LABEL_1,0.967842698097229,3.4044299125671387,"[-1.5600205659866333, 1.8444092273712158]",01/2018
954860793392222208,fri3nd5funny,Aerial Photos of Antarctica Reveal the Devastating Toll of Climate Change - TIME https://t.co/fnl9ERS3Ht,2018-01-20 23:38:48+00:00,"Athens, Greece",Greece,LABEL_1,0.9920352101325988,4.824723243713379,"[-2.317244052886963, 2.507479190826416]",01/2018
954859892929523712,annemariayritys,"Anthropogenic i.e. Human-Caused Climate Change: 
https://t.co/e4sxgI2HfT #climatechange #climateaction https://t.co/K7gkdZaTVa",2018-01-20 23:35:13+00:00,"Tampere, Finland",Finland,LABEL_1,0.9866148829460144,4.300137519836426,"[-2.0935239791870117, 2.206613302230835]",01/2018
954859406453362688,annemariayritys,"""If we are to go on living together on this Earth, we must all be responsible for it"". 
-Kofi Annan https://t.co/xmoWjxiA6F #climatechange #climateaction https://t.co/tyRTuq7pzJ",2018-01-20 23:33:17+00:00,"Tampere, Finland",Finland,LABEL_1,0.9894505143165588,4.541074275970459,"[-2.136906862258911, 2.404167413711548]",01/2018
954857915747373057,annemariayritys,NGO´s Urge Shift To 100% Renewable Energy: https://t.co/8Z53igdfW5 #climatechange #climateaction https://t.co/vncg2PFrmp,2018-01-20 23:27:22+00:00,"Tampere, Finland",Finland,LABEL_1,0.995496153831482,5.398318290710449,"[-2.53739070892334, 2.8609275817871094]",01/2018
954856666679447552,annemariayritys,"""EC. Climate change has direct impacts on human health."" https://t.co/nb9jeqOkzU #climatechange #climateaction https://t.co/es6Gc9JEAs",2018-01-20 23:22:24+00:00,"Tampere, Finland",Finland,LABEL_1,0.993535041809082,5.034862518310547,"[-2.44998836517334, 2.584874391555786]",01/2018
954855368353550336,annemariayritys,"""Nature is one of our greatest teachers"". https://t.co/8avG7MVS0E #climatechange #climateaction https://t.co/qH3CwmXpht",2018-01-20 23:17:14+00:00,"Tampere, Finland",Finland,LABEL_1,0.9829239249229432,4.0528564453125,"[-1.9035420417785645, 2.1493144035339355]",01/2018
954854597054513152,ISOCARP,"WUF9 is hosting a High Level Roundtable on ""The urban dimension in climate change action"" Feb 9, 14:30-17:30. @wuf9kl2018 
This is also the theme for the 2018 International Planning Congress https://t.co/SXaHRLrLKC https://t.co/4xFTmCSwpZ",2018-01-20 23:14:10+00:00,The Hague (NL),Netherlands,LABEL_1,0.995324730873108,5.36078405380249,"[-2.486234664916992, 2.874549388885498]",01/2018
954853904709189632,annemariayritys,"""UN SDG´s: People are experiencing the significant impacts of climate change."" https://t.co/nb9jeqOkzU #climatechange #climateaction https://t.co/hksxk2EWkh",2018-01-20 23:11:25+00:00,"Tampere, Finland",Finland,LABEL_1,0.9952581524848938,5.346579074859619,"[-2.52173113822937, 2.824847936630249]",01/2018
954852597457932290,annemariayritys,"""The earth is what we all have in common"". https://t.co/8avG7MVS0E #climatechange #climateaction https://t.co/16cPIOEc5i",2018-01-20 23:06:14+00:00,"Tampere, Finland",Finland,LABEL_1,0.986565887928009,4.296436309814453,"[-2.0260472297668457, 2.2703893184661865]",01/2018
954852059169394688,SasjaBeslik,We need to change the entire transportation system. EV's alone is not the solution. #EV #climate https://t.co/QYUC4DtluD,2018-01-20 23:04:05+00:00,"Stockholm, Sweden",Sweden,LABEL_1,0.9908271431922911,4.682294845581055,"[-2.2123873233795166, 2.469907760620117]",01/2018
954851989011206144,annemariayritys,Wastewater As a Source of Global Methane Emissions: https://t.co/MYuV7txVaA #climatechange #climateaction https://t.co/qquYQSO9v9,2018-01-20 23:03:49+00:00,"Tampere, Finland",Finland,LABEL_1,0.9936838150024414,5.05830192565918,"[-2.454721450805664, 2.6035802364349365]",01/2018
954849848171343872,annemariayritys,"""The future of the Arctic and its biodiversity requires an active and decisive approach to sustainability"". -Arctic Council https://t.co/ghgHOKuPXT #climatechange #climateaction https://t.co/chBiCuVwjT",2018-01-20 22:55:18+00:00,"Tampere, Finland",Finland,LABEL_1,0.9962353110313416,5.578318595886231,"[-2.657881259918213, 2.9204373359680176]",01/2018
954849712665866240,InezHS,"I’ll be on the radio this morning talking all things climate change with Professor Will Steffen - and hosted by the wonderful Rod Taylor.

Feel free to tune in at 11am on fuzzy logic 2xxFM

Woot woot.

#fuzzylogic #climatechange #realstuff #bigthings",2018-01-20 22:54:46+00:00,"Canberra, Vienna, Copenhagen",Austria,LABEL_1,0.9728174805641174,3.577622890472412,"[-1.6777864694595337, 1.899836540222168]",01/2018
954849678390153218,PhDrobinski,"Donald Trump is hampering fight against climate change, WEF warns https://t.co/fevSuElsYf",2018-01-20 22:54:38+00:00,"Ile-de-France, France",France,LABEL_1,0.994476854801178,5.193263530731201,"[-2.40077543258667, 2.7924880981445312]",01/2018
954849341587456001,annemariayritys,"""Hunting, fishing and herding activities are threatened by changes in snow and ice conditions"". -Arctic Council https://t.co/ghgHOKuPXT #climatechange #climateaction https://t.co/DepKqfB1UO",2018-01-20 22:53:17+00:00,"Tampere, Finland",Finland,LABEL_1,0.9911471009254456,4.718112945556641,"[-2.259489059448242, 2.4586236476898193]",01/2018
954847836973273089,annemariayritys,Arctic Climate Change Leads to Major Impacts on the Environment: https://t.co/6kYrgu1Znj #climatechange #climateaction https://t.co/O9YmhzIl5W,2018-01-20 22:47:19+00:00,"Tampere, Finland",Finland,LABEL_1,0.9928606152534484,4.934966087341309,"[-2.3948516845703125, 2.540114641189575]",01/2018
954847316770459648,mikhalil_dr,Government launches Climate Change adaptation strategy https://t.co/991cZH8ePG,2018-01-20 22:45:15+00:00,"South Dublin, Ireland",Ireland,LABEL_1,0.9920144081115724,4.822098731994629,"[-2.270698308944702, 2.551400661468506]",01/2018
954655474477162496,valmasdel,"Budget cuts affect NOAA's Climate and Global Change Postdoctoral Fellowship Program,
- now funding fewer researchers than it ever has since 1991.
- the 2017 class is the only one other than the first to be all male.
https://t.co/niSSSoHxWu",2018-01-20 10:02:56+00:00,France,France,LABEL_1,0.9819386005401612,3.995750904083252,"[-1.8825308084487915, 2.113219976425171]",01/2018
