Tweet ID,Username,Content,Created At,User Location,Filtered Location,Sentiment Score,Sentiment Label
954865989736378368,annemariayritys,"""Trees are sanctuaries. Whoever knows how to listen to them, can learn the truth"". ~H.Hesse  #climatechange #climateaction ",2018-01-20 23:59:27+00:00,"Tampere, Finland",Finland,0.0,Neutral
954865193451966465,annemariayritys,"""Wilderness is not a luxury but a necessity of the human spirit"".  #climatechange #climateaction ",2018-01-20 23:56:17+00:00,"Tampere, Finland",Finland,0.0,Neutral
954864712864350208,MaraVanElls,"Marchers chanting ""End Trump, not DACA"" and ""Climate change is real!"" ",2018-01-20 23:54:22+00:00,"Munich, Bavaria",Germany,0.0,Neutral
954864150043381760,ferrari_carla,What kind of emoji do you need to talk about climate change?  ,2018-01-20 23:52:08+00:00,"Milano, Lombardia",Italy,0.0,Neutral
954864077863641088,The_New_View_,"Hey everyone, here's part two of our interview with Senator Grace O Sullivan , we discussed topics such as Climate Change, the #RepealThe8th  campaign, Donald Trump, Drug policy and much more. Many thanks to Grace for coming on again!
",2018-01-20 23:51:51+00:00,"Waterford, Ireland",Ireland,0.843,Positive
954863921202171905,annemariayritys,"""I am most alive among the tall trees"".  #climatechange #climateaction ",2018-01-20 23:51:13+00:00,"Tampere, Finland",Finland,0.4391,Positive
954863033758703616,CHASECorkNews,Climate change + crumbling shoreline = #justsayno ...please! ,2018-01-20 23:47:42+00:00,Cork Harbour,Ireland,0.0,Neutral
954422815670833152,NoonanJoe,"Planning for climate change.  Like not putting a hazwaste incinerator on a crumbling shoreline. #Cork
 ",2018-01-19 18:38:26+00:00,Cork,Ireland,0.3612,Positive
954862710818246656,SofiaJbr,"Diversity is a Strength &amp; Inclusivess towards the same Futuristic destination is a Must, especially during this transition decade to a new world for we're already impacted by Automation, technological changes, climate change, resources scarcity, anger and fear in our societies! ",2018-01-20 23:46:25+00:00,"Paris, France",France,-0.6114,Negative
954862506194997248,annemariayritys,Arctic Climate Change a Global Problem:  #climatechange #climateaction ,2018-01-20 23:45:36+00:00,"Tampere, Finland",Finland,-0.4019,Negative
954861416523198464,annemariayritys,"""Time spent among trees is never time wasted"".  #climatechange #climateaction ",2018-01-20 23:41:16+00:00,"Tampere, Finland",Finland,0.0,Neutral
954860815814979586,pablorodas,"For Trump the Chinese are full of secrets: China created the “hoax” of climate change, China protects the “rocket man” from North Korea, and China... ",2018-01-20 23:38:53+00:00,"Warsaw, Poland",Poland,0.5106,Positive
954860793392222208,fri3nd5funny,Aerial Photos of Antarctica Reveal the Devastating Toll of Climate Change - TIME ,2018-01-20 23:38:48+00:00,"Athens, Greece",Greece,-0.6486,Negative
954859892929523712,annemariayritys,"Anthropogenic i.e. Human-Caused Climate Change: 
 #climatechange #climateaction ",2018-01-20 23:35:13+00:00,"Tampere, Finland",Finland,0.0,Neutral
954859406453362688,annemariayritys,"""If we are to go on living together on this Earth, we must all be responsible for it"". 
-Kofi Annan  #climatechange #climateaction ",2018-01-20 23:33:17+00:00,"Tampere, Finland",Finland,0.3182,Positive
954857915747373057,annemariayritys,NGO´s Urge Shift To 100% Renewable Energy:  #climatechange #climateaction ,2018-01-20 23:27:22+00:00,"Tampere, Finland",Finland,0.2732,Positive
954856666679447552,annemariayritys,"""EC. Climate change has direct impacts on human health.""  #climatechange #climateaction ",2018-01-20 23:22:24+00:00,"Tampere, Finland",Finland,0.0,Neutral
954855368353550336,annemariayritys,"""Nature is one of our greatest teachers"".  #climatechange #climateaction ",2018-01-20 23:17:14+00:00,"Tampere, Finland",Finland,0.6369,Positive
954854597054513152,ISOCARP,"WUF9 is hosting a High Level Roundtable on ""The urban dimension in climate change action"" Feb 9, 14:30-17:30.  
This is also the theme for the 2018 International Planning Congress  ",2018-01-20 23:14:10+00:00,The Hague (NL),Netherlands,0.0,Neutral
954853904709189632,annemariayritys,"""UN SDG´s: People are experiencing the significant impacts of climate change.""  #climatechange #climateaction ",2018-01-20 23:11:25+00:00,"Tampere, Finland",Finland,0.2023,Positive
954852597457932290,annemariayritys,"""The earth is what we all have in common"".  #climatechange #climateaction ",2018-01-20 23:06:14+00:00,"Tampere, Finland",Finland,0.0,Neutral
954852059169394688,SasjaBeslik,We need to change the entire transportation system. EV's alone is not the solution. #EV #climate ,2018-01-20 23:04:05+00:00,"Stockholm, Sweden",Sweden,-0.4519,Negative
954851989011206144,annemariayritys,Wastewater As a Source of Global Methane Emissions:  #climatechange #climateaction ,2018-01-20 23:03:49+00:00,"Tampere, Finland",Finland,0.0,Neutral
954849848171343872,annemariayritys,"""The future of the Arctic and its biodiversity requires an active and decisive approach to sustainability"". -Arctic Council  #climatechange #climateaction ",2018-01-20 22:55:18+00:00,"Tampere, Finland",Finland,0.5574,Positive
